fold,train_macro_f1,macro_f1,weighted_f1,accuracy,best_epoch
1,0.6457748380148698,0.3764021287039189,0.33895487321274426,0.3448275862068966,32
2,0.6007325362186795,0.3912511652131029,0.3822695203526847,0.39080459770114945,28
3,0.5262870299175814,0.41172224545926966,0.41896964503455375,0.41379310344827586,23
4,0.7662144876080321,0.3917409387997623,0.41721235341924995,0.42528735632183906,48
5,0.6691354363242783,0.39696545284780577,0.4039959394610557,0.4186046511627907,37
