fold,train_macro_f1,macro_f1,weighted_f1,accuracy,best_epoch
1,0.583676119676948,0.3933791698497581,0.34627556351694283,0.3563218390804598,25
2,0.8418832574322997,0.3724848041983592,0.3818891420090821,0.3793103448275862,48
3,0.8896152309648978,0.4267802722261925,0.44978571669339185,0.4482758620689655,64
4,0.8975213688184838,0.4079223608635373,0.40929409032857306,0.41379310344827586,78
5,0.9151431604791481,0.40548955214269616,0.38564618576647447,0.3953488372093023,68
