fold,train_macro_f1,macro_f1,weighted_f1,accuracy,best_epoch
1,0.5664900048006504,0.24949580862893558,0.22843101645279507,0.22988505747126436,57
2,0.28551086897956385,0.21626984126984128,0.17909596788907134,0.1839080459770115,21
3,0.295143478791847,0.22170443935149814,0.16443416098588512,0.21839080459770116,22
4,0.4894653031514827,0.20015778147266036,0.2112780465721642,0.22988505747126436,46
5,0.39859622443347437,0.2183577258654658,0.20207793532456933,0.20930232558139536,39
