string_protein_id,gene_symbol,match_type
9606.ENSP00000259211,IL36A,direct
9606.ENSP00000259212,IL36RN,direct
9606.ENSP00000259213,IL36B,direct
9606.ENSP00000259216,CFC1,direct
9606.ENSP00000259239,IMP4,direct
9606.ENSP00000259241,HS6ST1,direct
9606.ENSP00000259253,UGGT1,direct
9606.ENSP00000259254,GYPC,direct
9606.ENSP00000259324,LRRC8A,direct
9606.ENSP00000259335,ECPAS,direct
9606.ENSP00000259339,TOR1B,direct
9606.ENSP00000259351,RALGPS1,direct
9606.ENSP00000259357,OR1J1,direct
9606.ENSP00000259362,OR13C9,direct
9606.ENSP00000259365,TMOD1,direct
9606.ENSP00000259371,DAB2IP,direct
9606.ENSP00000259392,SLC31A2,direct
9606.ENSP00000259396,ORM1,direct
9606.ENSP00000259400,STX17,direct
9606.ENSP00000259407,BAAT,direct
9606.ENSP00000259455,GABBR2,direct
9606.ENSP00000259456,HEMGN,direct
9606.ENSP00000259457,PSMB7,direct
9606.ENSP00000259466,OR1L4,direct
9606.ENSP00000259467,PDCL,direct
9606.ENSP00000259469,RPL35,direct
9606.ENSP00000259470,CTSV,direct
9606.ENSP00000259486,ENPP2,direct
9606.ENSP00000259512,DERL1,direct
9606.ENSP00000259526,CCN3,direct
9606.ENSP00000259569,RANBP6,direct
9606.ENSP00000259605,RNF38,direct
9606.ENSP00000259607,CCL21,direct
9606.ENSP00000259608,SIT1,direct
9606.ENSP00000259631,CCL27,direct
9606.ENSP00000259632,DCTN3,direct
9606.ENSP00000259633,CD72,direct
9606.ENSP00000259667,HINT2,direct
9606.ENSP00000259698,RIPOR2,direct
9606.ENSP00000259708,KLC4,direct
9606.ENSP00000259711,KIF13A,direct
9606.ENSP00000259727,GMPR,direct
9606.ENSP00000259746,TMEM63B,direct
9606.ENSP00000259750,TTBK1,direct
9606.ENSP00000259782,TINAG,direct
9606.ENSP00000259803,GCM1,direct
9606.ENSP00000259808,RIPK1,direct
9606.ENSP00000259818,TUBB2B,direct
9606.ENSP00000259845,PSORS1C2,direct
9606.ENSP00000259870,C6ORF15,direct
9606.ENSP00000259873,MRPS18B,direct
9606.ENSP00000259874,IER3,direct
9606.ENSP00000259881,PSORS1C1,direct
9606.ENSP00000259883,PGBD1,direct
9606.ENSP00000259895,GTF2H4,direct
9606.ENSP00000259915,POU5F1,direct
9606.ENSP00000259938,CLPS,direct
9606.ENSP00000259939,RNF144B,direct
9606.ENSP00000259951,HLA-F,direct
9606.ENSP00000259953,NRM,direct
9606.ENSP00000259963,FAM8A1,direct
9606.ENSP00000259983,C6ORF52,direct
9606.ENSP00000259989,FGFBP2,direct
9606.ENSP00000260010,TLR2,direct
9606.ENSP00000260045,THAP12,direct
9606.ENSP00000260102,MRPL15,direct
9606.ENSP00000260113,PI15,direct
9606.ENSP00000260116,TTPA,direct
9606.ENSP00000260118,GGH,direct
9606.ENSP00000260126,SLCO5A1,direct
9606.ENSP00000260128,SULF1,direct
9606.ENSP00000260129,TGS1,direct
9606.ENSP00000260184,DDX60L,direct
9606.ENSP00000260187,USP2,direct
9606.ENSP00000260191,HTR3B,direct
9606.ENSP00000260197,SORL1,direct
9606.ENSP00000260210,BUD13,direct
9606.ENSP00000260227,MMP7,direct
9606.ENSP00000260228,MMP20,direct
9606.ENSP00000260229,MMP27,direct
9606.ENSP00000260247,DCUN1D5,direct
9606.ENSP00000260257,FDXACB1,direct
9606.ENSP00000260264,POU2F3,direct
9606.ENSP00000260270,FDX1,direct
9606.ENSP00000260283,ARHGAP20,direct
9606.ENSP00000260302,MMP13,direct
9606.ENSP00000260323,UNC13C,direct
9606.ENSP00000260327,CTDSPL2,direct
9606.ENSP00000260356,THBS1,direct
9606.ENSP00000260361,NDUFAF1,direct
9606.ENSP00000260363,KIF23,direct
9606.ENSP00000260372,HAUS2,direct
9606.ENSP00000260383,TUBGCP4,direct
9606.ENSP00000260385,RMDN3,direct
9606.ENSP00000260386,ITPKA,direct
9606.ENSP00000260402,PLCB2,direct
9606.ENSP00000260403,TMEM62,direct
9606.ENSP00000260408,ADAM10,direct
9606.ENSP00000260443,RSL24D1,direct
9606.ENSP00000260447,GCHFR,direct
9606.ENSP00000260453,MNS1,direct
9606.ENSP00000260502,BCAR3,direct
9606.ENSP00000260505,TTLL7,direct
9606.ENSP00000260508,KYAT3,direct
9606.ENSP00000260526,ARHGAP29,direct
9606.ENSP00000260563,RTCA,direct
9606.ENSP00000260570,IFT172,direct
9606.ENSP00000260585,SELENOI,direct
9606.ENSP00000260599,KHK,direct
9606.ENSP00000260643,PREB,direct
9606.ENSP00000260649,SLC3A1,direct
9606.ENSP00000260653,SIX3,direct
9606.ENSP00000260665,LRPPRC,direct
9606.ENSP00000260682,CYP2C9,direct
9606.ENSP00000260702,LOXL4,direct
9606.ENSP00000260723,BTBD16,direct
9606.ENSP00000260731,KIF11,direct
9606.ENSP00000260743,CALHM2,direct
9606.ENSP00000260746,ARL3,direct
9606.ENSP00000260762,EXOC6,direct
9606.ENSP00000260803,DBR1,direct
9606.ENSP00000260810,TOPBP1,direct
9606.ENSP00000260818,DNAJC13,direct
9606.ENSP00000260843,GPR87,direct
9606.ENSP00000260947,BARD1,direct
9606.ENSP00000260950,MSTN,direct
9606.ENSP00000260952,ASNSD1,direct
9606.ENSP00000260953,METTL5,direct
9606.ENSP00000260970,PPIG,direct
9606.ENSP00000260983,HECW2,direct
9606.ENSP00000260988,CRYGB,direct
9606.ENSP00000261007,CHRNA1,direct
9606.ENSP00000261015,WDR12,direct
9606.ENSP00000261023,ITGAV,direct
9606.ENSP00000261024,SLC40A1,direct
9606.ENSP00000261037,COL8A1,direct
9606.ENSP00000261038,SLC49A4,direct
9606.ENSP00000261047,GUCA1C,direct
9606.ENSP00000261058,CCDC54,direct
9606.ENSP00000261070,COX17,direct
9606.ENSP00000261167,WBP11,direct
9606.ENSP00000261170,GUCY2C,direct
9606.ENSP00000261172,EPYC,direct
9606.ENSP00000261177,TSPAN11,direct
9606.ENSP00000261180,TRHDE,direct
9606.ENSP00000261183,OSBPL8,direct
9606.ENSP00000261191,INTS13,direct
9606.ENSP00000261195,GYS2,direct
9606.ENSP00000261196,SLCO1B3,direct
9606.ENSP00000261200,ABCC9,direct
9606.ENSP00000261205,SYT1,direct
9606.ENSP00000261208,HAL,direct
9606.ENSP00000261211,CDK17,direct
9606.ENSP00000261226,TMCC3,direct
9606.ENSP00000261233,IRAK3,direct
9606.ENSP00000261234,RXYLT1,direct
9606.ENSP00000261245,MNAT1,direct
9606.ENSP00000261249,TRMT5,direct
9606.ENSP00000261254,CCND2,direct
9606.ENSP00000261263,RAB21,direct
9606.ENSP00000261267,LYZ,direct
9606.ENSP00000261292,LIPG,direct
9606.ENSP00000261296,TGDS,direct
9606.ENSP00000261303,PSMC1,direct
9606.ENSP00000261304,GALC,direct
9606.ENSP00000261308,PPWD1,direct
9606.ENSP00000261313,PEBP1,direct
9606.ENSP00000261326,MOCOS,direct
9606.ENSP00000261336,PZP,direct
9606.ENSP00000261340,CLEC2D,direct
9606.ENSP00000261349,LRP6,direct
9606.ENSP00000261366,LMNB1,direct
9606.ENSP00000261367,SNCAIP,direct
9606.ENSP00000261369,SNX24,direct
9606.ENSP00000261374,HS3ST2,direct
9606.ENSP00000261377,REXO5,direct
9606.ENSP00000261381,XYLT1,direct
9606.ENSP00000261383,DNAH3,direct
9606.ENSP00000261386,GDE1,direct
9606.ENSP00000261396,NUP133,direct
9606.ENSP00000261402,NUAK1,direct
9606.ENSP00000261405,VWF,direct
9606.ENSP00000261407,LPCAT3,direct
9606.ENSP00000261416,HEXB,direct
9606.ENSP00000261427,UBE2K,direct
9606.ENSP00000261435,N4BP2,direct
9606.ENSP00000261438,KLF3,direct
9606.ENSP00000261439,TBC1D1,direct
9606.ENSP00000261441,RSBN1,direct
9606.ENSP00000261448,CASQ2,direct
9606.ENSP00000261461,PPP2R5A,direct
9606.ENSP00000261464,TRAF5,direct
9606.ENSP00000261475,PPP2R3C,direct
9606.ENSP00000261479,PSMA6,direct
9606.ENSP00000261483,MAN2A1,direct
9606.ENSP00000261488,ENOX1,direct
9606.ENSP00000261497,USP22,direct
9606.ENSP00000261499,B9D1,direct
9606.ENSP00000261503,SPECC1,direct
9606.ENSP00000261507,MSMO1,direct
9606.ENSP00000261514,CLCN3,direct
9606.ENSP00000261520,ICE2,direct
9606.ENSP00000261523,RORA,direct
9606.ENSP00000261530,GPATCH2L,direct
9606.ENSP00000261534,POMT2,direct
9606.ENSP00000261537,MIB1,direct
9606.ENSP00000261556,TMEM260,direct
9606.ENSP00000261558,AP5M1,direct
9606.ENSP00000261560,ZNF430,direct
9606.ENSP00000261574,IPO5,direct
9606.ENSP00000261584,PALB2,direct
9606.ENSP00000261588,KATNIP,alias
9606.ENSP00000261590,DSG2,direct
9606.ENSP00000261592,NOL4,direct
9606.ENSP00000261593,RNF138,direct
9606.ENSP00000261596,LPIN2,direct
9606.ENSP00000261597,NDC80,direct
9606.ENSP00000261600,THOC1,direct
9606.ENSP00000261601,USP14,direct
9606.ENSP00000261609,HERC2,direct
9606.ENSP00000261622,SLC7A5,direct
9606.ENSP00000261623,CYBA,direct
9606.ENSP00000261636,ARL1,direct
9606.ENSP00000261637,UTP20,direct
9606.ENSP00000261643,COX10,direct
9606.ENSP00000261647,TTC19,direct
9606.ENSP00000261652,TNFRSF13B,direct
9606.ENSP00000261655,RIMBP2,direct
9606.ENSP00000261658,BFAR,direct
9606.ENSP00000261667,KPNA3,direct
9606.ENSP00000261681,PALS1,alias
9606.ENSP00000261692,CDK2AP1,direct
9606.ENSP00000261693,SCARB1,direct
9606.ENSP00000261700,RTRAF,direct
9606.ENSP00000261707,SLC6A4,direct
9606.ENSP00000261708,UTP6,direct
9606.ENSP00000261712,PSMD11,direct
9606.ENSP00000261714,BLMH,direct
9606.ENSP00000261716,TAOK1,direct
9606.ENSP00000261721,BTBD1,direct
9606.ENSP00000261726,CUX2,direct
9606.ENSP00000261731,LHX5,direct
9606.ENSP00000261733,ALDH2,direct
9606.ENSP00000261735,ERP29,direct
9606.ENSP00000261739,ANKRD13A,direct
9606.ENSP00000261745,NAA25,direct
9606.ENSP00000261751,CHRNB4,direct
9606.ENSP00000261758,MESD,direct
9606.ENSP00000261769,CDH1,direct
9606.ENSP00000261772,AARS1,direct
9606.ENSP00000261776,VAC14,direct
9606.ENSP00000261778,TANGO6,direct
9606.ENSP00000261783,ARG2,direct
9606.ENSP00000261789,TM9SF1,direct
9606.ENSP00000261796,IL17B,direct
9606.ENSP00000261797,NDST1,direct
9606.ENSP00000261798,CSNK1A1,direct
9606.ENSP00000261799,PDGFRB,direct
9606.ENSP00000261800,FAT2,direct
9606.ENSP00000261811,CYSTM1,direct
9606.ENSP00000261813,PFDN1,direct
9606.ENSP00000261819,ANAPC5,direct
9606.ENSP00000261835,CYP46A1,direct
9606.ENSP00000261837,GNB5,direct
9606.ENSP00000261839,MYO5C,direct
9606.ENSP00000261842,AP4E1,direct
9606.ENSP00000261845,MAPK6,direct
9606.ENSP00000261854,SPPL2A,direct
9606.ENSP00000261858,GLCE,direct
9606.ENSP00000261861,CORO2B,direct
9606.ENSP00000261866,SPG11,direct
9606.ENSP00000261867,SLC30A4,direct
9606.ENSP00000261868,EIF3J,direct
9606.ENSP00000261875,HACD3,direct
9606.ENSP00000261879,APH1B,direct
9606.ENSP00000261880,AAGAB,direct
9606.ENSP00000261881,TIPIN,direct
9606.ENSP00000261883,CILP,direct
9606.ENSP00000261884,TRIP4,direct
9606.ENSP00000261888,PARP16,direct
9606.ENSP00000261889,SNX1,direct
9606.ENSP00000261890,RAB11A,direct
9606.ENSP00000261892,SLC24A1,direct
9606.ENSP00000261893,LACTB,direct
9606.ENSP00000261900,CCNT1,direct
9606.ENSP00000261917,HCN4,direct
9606.ENSP00000261918,SEMA7A,direct
9606.ENSP00000261921,LOXL1,direct
9606.ENSP00000261937,FLT4,direct
9606.ENSP00000261942,FAF2,direct
9606.ENSP00000261965,TUBGCP3,direct
9606.ENSP00000261973,RBM25,direct
9606.ENSP00000261978,LTBP2,direct
9606.ENSP00000261980,VSX2,direct
9606.ENSP00000261994,SERPINA10,direct
9606.ENSP00000262013,SPAG9,direct
9606.ENSP00000262018,SGCA,direct
9606.ENSP00000262027,MARS1,direct
9606.ENSP00000262030,ATP5F1B,direct
9606.ENSP00000262031,RBMS2,direct
9606.ENSP00000262039,PIK3C3,direct
9606.ENSP00000262041,MEOX2,direct
9606.ENSP00000262043,PHF3,direct
9606.ENSP00000262053,ATF1,direct
9606.ENSP00000262065,MMD,direct
9606.ENSP00000262067,TSPAN13,direct
9606.ENSP00000262094,RAB27B,direct
9606.ENSP00000262096,ZDHHC2,direct
9606.ENSP00000262102,MTUS1,direct
9606.ENSP00000262105,MCM4,direct
9606.ENSP00000262109,ERICH1,direct
9606.ENSP00000262113,MYOM2,direct
9606.ENSP00000262120,TWSG1,direct
9606.ENSP00000262126,ANKRD12,direct
9606.ENSP00000262127,CEP76,direct
9606.ENSP00000262133,RBL2,direct
9606.ENSP00000262134,LPCAT2,direct
9606.ENSP00000262138,CACNG4,direct
9606.ENSP00000262139,WIPI1,direct
9606.ENSP00000262144,WDR59,direct
9606.ENSP00000262146,MTFR1,direct
9606.ENSP00000262150,CDH19,direct
9606.ENSP00000262158,SMAD7,direct
9606.ENSP00000262160,SMAD2,direct
9606.ENSP00000262177,DNAJB6,direct
9606.ENSP00000262178,VIPR2,direct
9606.ENSP00000262186,KCNH2,direct
9606.ENSP00000262187,RHEB,direct
9606.ENSP00000262188,SMARCD3,direct
9606.ENSP00000262189,KMT2C,direct
9606.ENSP00000262193,PSMB1,direct
9606.ENSP00000262198,ADNP2,direct
9606.ENSP00000262207,CRISPLD1,direct
9606.ENSP00000262209,TRPA1,direct
9606.ENSP00000262210,CSPP1,direct
9606.ENSP00000262213,TRAM1,direct
9606.ENSP00000262215,ARFGEF1,direct
9606.ENSP00000262219,ANXA13,direct
9606.ENSP00000262225,TMED2,direct
9606.ENSP00000262238,YY1,direct
9606.ENSP00000262241,RCOR1,direct
9606.ENSP00000262244,MOB3B,direct
9606.ENSP00000262259,ZNF175,direct
9606.ENSP00000262262,CD33,direct
9606.ENSP00000262265,PIH1D1,direct
9606.ENSP00000262288,SCPEP1,direct
9606.ENSP00000262290,LPO,direct
9606.ENSP00000262291,VMP1,direct
9606.ENSP00000262293,PRR11,direct
9606.ENSP00000262294,TRIM37,direct
9606.ENSP00000262300,PKMYT1,direct
9606.ENSP00000262301,LMF1,direct
9606.ENSP00000262302,NUBP2,direct
9606.ENSP00000262304,PKD1,direct
9606.ENSP00000262305,RAB11FIP3,direct
9606.ENSP00000262306,ELOB,direct
9606.ENSP00000262315,CHTF18,direct
9606.ENSP00000262316,RHBDF1,direct
9606.ENSP00000262319,TELO2,direct
9606.ENSP00000262320,AXIN1,direct
9606.ENSP00000262340,RPE65,direct
9606.ENSP00000262345,IL12RB2,direct
9606.ENSP00000262352,SLC1A1,direct
9606.ENSP00000262365,FAM86B2,direct
9606.ENSP00000262366,GLIS2,direct
9606.ENSP00000262367,CREBBP,direct
9606.ENSP00000262370,MGRN1,direct
9606.ENSP00000262374,ALG1,direct
9606.ENSP00000262375,DNAJA3,direct
9606.ENSP00000262376,UBN1,direct
9606.ENSP00000262384,N4BP1,direct
9606.ENSP00000262394,WSB1,direct
9606.ENSP00000262395,TRAF4,direct
9606.ENSP00000262406,RGS9,direct
9606.ENSP00000262407,ITGA2B,direct
9606.ENSP00000262415,DHX8,direct
9606.ENSP00000262418,SLC4A1,direct
9606.ENSP00000262424,CRISPLD2,direct
9606.ENSP00000262426,FOXF1,direct
9606.ENSP00000262428,COTL1,direct
9606.ENSP00000262430,MLYCD,direct
9606.ENSP00000262432,METTL2B,direct
9606.ENSP00000262435,SMURF2,direct
9606.ENSP00000262441,GLP2R,direct
9606.ENSP00000262442,DNAH9,direct
9606.ENSP00000262450,CHD5,direct
9606.ENSP00000262455,ERP44,direct
9606.ENSP00000262457,INVS,direct
9606.ENSP00000262460,GINS1,direct
9606.ENSP00000262461,SLC12A2,direct
9606.ENSP00000262462,SLC27A6,direct
9606.ENSP00000262482,RNF167,direct
9606.ENSP00000262483,PITPNM3,direct
9606.ENSP00000262487,ISM1,direct
9606.ENSP00000262494,GNAO1,direct
9606.ENSP00000262498,CFAP20,direct
9606.ENSP00000262506,CSNK2A2,direct
9606.ENSP00000262507,COQ9,direct
9606.ENSP00000262510,NLRC5,direct
9606.ENSP00000262518,SRCAP,direct
9606.ENSP00000262519,SETD1A,direct
9606.ENSP00000262525,ZNF629,direct
9606.ENSP00000262545,PCSK2,direct
9606.ENSP00000262547,DZANK1,direct
9606.ENSP00000262554,SPTLC1,direct
9606.ENSP00000262577,ZC3H3,direct
9606.ENSP00000262584,RPL8,direct
9606.ENSP00000262593,DOK5,direct
9606.ENSP00000262613,NHERF1,alias
9606.ENSP00000262622,CHST8,direct
9606.ENSP00000262623,ATP4A,direct
9606.ENSP00000262626,HPN,direct
9606.ENSP00000262629,TYROBP,direct
9606.ENSP00000262633,RBM42,direct
9606.ENSP00000262640,VAMP7,direct
9606.ENSP00000262643,CCNE1,direct
9606.ENSP00000262646,RAB2A,direct
9606.ENSP00000262648,ANOS1,direct
9606.ENSP00000262653,CBFA2T2,direct
9606.ENSP00000262659,CCM2L,direct
9606.ENSP00000262662,CDKN2C,direct
9606.ENSP00000262710,ACIN1,direct
9606.ENSP00000262713,AJUBA,direct
9606.ENSP00000262715,TEP1,direct
9606.ENSP00000262717,CDH20,direct
9606.ENSP00000262719,PHLPP1,direct
9606.ENSP00000262726,EFCAB6,direct
9606.ENSP00000262738,CELSR1,direct
9606.ENSP00000262741,PIK3R3,direct
9606.ENSP00000262746,PRDX1,direct
9606.ENSP00000262752,RPS6KA6,direct
9606.ENSP00000262764,PGS1,direct
9606.ENSP00000262765,QRICH2,direct
9606.ENSP00000262768,TIMP2,direct
9606.ENSP00000262776,LGALS3BP,direct
9606.ENSP00000262794,MOV10L1,direct
9606.ENSP00000262809,ELL,direct
9606.ENSP00000262811,MAST3,direct
9606.ENSP00000262815,MAU2,direct
9606.ENSP00000262839,TRPC5,direct
9606.ENSP00000262843,MID2,direct
9606.ENSP00000262844,AMMECR1,direct
9606.ENSP00000262848,PRKX,direct
9606.ENSP00000262850,RRAGB,direct
9606.ENSP00000262865,BPI,direct
9606.ENSP00000262866,SLA2,direct
9606.ENSP00000262879,RALGAPB,direct
9606.ENSP00000262887,XRCC1,direct
9606.ENSP00000262891,MARK4,direct
9606.ENSP00000262894,ZNF225,direct
9606.ENSP00000262903,HACE1,direct
9606.ENSP00000262904,E2F3,direct
9606.ENSP00000262916,KCNQ4,direct
9606.ENSP00000262919,ATRN,direct
9606.ENSP00000262932,CNPY4,direct
9606.ENSP00000262940,RASA4,direct
9606.ENSP00000262942,ARPC1A,direct
9606.ENSP00000262947,MYDGF,direct
9606.ENSP00000262948,MAP2K2,direct
9606.ENSP00000262958,GNA15,direct
9606.ENSP00000262960,DPP9,direct
9606.ENSP00000262961,ZFR2,direct
9606.ENSP00000262962,YJU2,direct
9606.ENSP00000262965,TCF3,direct
9606.ENSP00000262971,PIAS4,direct
9606.ENSP00000262982,CSE1L,direct
9606.ENSP00000262990,ZNF330,direct
9606.ENSP00000262995,GAB1,direct
9606.ENSP00000262999,UCP1,direct
9606.ENSP00000263025,MAPK3,direct
9606.ENSP00000263026,EEF2K,direct
9606.ENSP00000263035,DHTKD1,direct
9606.ENSP00000263038,PHYH,direct
9606.ENSP00000263054,SORCS1,direct
9606.ENSP00000263056,MAP3K8,direct
9606.ENSP00000263062,EPC1,direct
9606.ENSP00000263063,MTPAP,direct
9606.ENSP00000263071,SCARF1,direct
9606.ENSP00000263073,SMG6,direct
9606.ENSP00000263080,ASPA,direct
9606.ENSP00000263083,DPH1,direct
9606.ENSP00000263087,ITGAE,direct
9606.ENSP00000263088,PLD2,direct
9606.ENSP00000263092,METTL16,direct
9606.ENSP00000263093,SLC27A5,direct
9606.ENSP00000263094,ABCA7,direct
9606.ENSP00000263095,ZNF264,direct
9606.ENSP00000263100,A1BG,direct
9606.ENSP00000263102,CCDC6,direct
9606.ENSP00000263116,RAB36,direct
9606.ENSP00000263125,PRKCQ,direct
9606.ENSP00000263150,WDR37,direct
9606.ENSP00000263160,SLC17A6,direct
9606.ENSP00000263168,CAPZA1,direct
9606.ENSP00000263174,PALMD,direct
9606.ENSP00000263177,PLPPR5,direct
9606.ENSP00000263181,KIF18A,direct
9606.ENSP00000263182,BBOX1,direct
9606.ENSP00000263187,MSH4,direct
9606.ENSP00000263196,DGCR2,direct
9606.ENSP00000263202,UFD1,direct
9606.ENSP00000263205,MED15,direct
9606.ENSP00000263207,ARVCF,direct
9606.ENSP00000263208,HIRA,direct
9606.ENSP00000263209,DGCR8,direct
9606.ENSP00000263212,PPM1F,direct
9606.ENSP00000263228,UBE2R2,direct
9606.ENSP00000263233,SYP,direct
9606.ENSP00000263238,ACTR3,direct
9606.ENSP00000263239,DDX18,direct
9606.ENSP00000263245,ARFGAP3,direct
9606.ENSP00000263246,PACSIN2,direct
9606.ENSP00000263253,EP300,direct
9606.ENSP00000263256,DESI1,direct
9606.ENSP00000263257,NOVA2,direct
9606.ENSP00000263265,PLEKHA4,direct
9606.ENSP00000263266,FAM83E,direct
9606.ENSP00000263268,MREG,direct
9606.ENSP00000263269,GRIN2D,direct
9606.ENSP00000263274,LIG1,direct
9606.ENSP00000263277,EHD2,direct
9606.ENSP00000263278,HSD17B14,direct
9606.ENSP00000263285,LY9,direct
9606.ENSP00000263314,P2RX3,direct
9606.ENSP00000263317,NOX4,direct
9606.ENSP00000263321,TYR,direct
9606.ENSP00000263326,IL37,direct
9606.ENSP00000263334,PAX8,direct
9606.ENSP00000263339,IL1A,direct
9606.ENSP00000263341,IL1B,direct
9606.ENSP00000263346,TCF25,direct
9606.ENSP00000263354,NAPA,direct
9606.ENSP00000263368,BLVRB,direct
9606.ENSP00000263370,ITPKC,direct
9606.ENSP00000263372,KCNK6,direct
9606.ENSP00000263377,BRD4,direct
9606.ENSP00000263379,IL27RA,direct
9606.ENSP00000263382,ASF1B,direct
9606.ENSP00000263384,FAM32A,direct
9606.ENSP00000263388,NOTCH3,direct
9606.ENSP00000263390,MED26,direct
9606.ENSP00000263401,COMMD9,direct
9606.ENSP00000263408,C9,direct
9606.ENSP00000263413,C6,direct
9606.ENSP00000263431,PRKCG,direct
9606.ENSP00000263433,PPP1R12C,direct
9606.ENSP00000263440,ALG6,direct
9606.ENSP00000263461,WDR11,direct
9606.ENSP00000263464,BIRC3,direct
9606.ENSP00000263468,CEP126,direct
9606.ENSP00000263512,SLC10A3,direct
9606.ENSP00000263519,ATP2B3,direct
9606.ENSP00000263549,PARP12,direct
9606.ENSP00000263556,P4HA1,direct
9606.ENSP00000263559,VPS26A,direct
9606.ENSP00000263563,PALD1,direct
9606.ENSP00000263576,DDX25,direct
9606.ENSP00000263578,FOXRED1,direct
9606.ENSP00000263579,DCPS,direct
9606.ENSP00000263593,SIAE,direct
9606.ENSP00000263598,LCN1,direct
9606.ENSP00000263610,BARHL1,direct
9606.ENSP00000263620,ARID3A,direct
9606.ENSP00000263629,MTIF2,direct
9606.ENSP00000263635,TANC1,direct
9606.ENSP00000263636,LY75,direct
9606.ENSP00000263645,CD81,direct
9606.ENSP00000263650,OSBPL5,direct
9606.ENSP00000263655,CNRIP1,direct
9606.ENSP00000263657,PNO1,direct
9606.ENSP00000263663,TAF1B,direct
9606.ENSP00000263665,CNTN3,direct
9606.ENSP00000263666,PDZRN3,direct
9606.ENSP00000263671,CHRDL2,direct
9606.ENSP00000263672,SPCS2,direct
9606.ENSP00000263674,ARHGEF17,direct
9606.ENSP00000263681,POLD3,direct
9606.ENSP00000263686,SELP,direct
9606.ENSP00000263694,SNRNP40,direct
9606.ENSP00000263697,DNAJC8,direct
9606.ENSP00000263702,MECR,direct
9606.ENSP00000263707,TFCP2L1,direct
9606.ENSP00000263708,PTPN4,direct
9606.ENSP00000263710,CLASP1,direct
9606.ENSP00000263713,EPB41L5,direct
9606.ENSP00000263726,LHX4,direct
9606.ENSP00000263733,FAM20B,direct
9606.ENSP00000263734,EPAS1,direct
9606.ENSP00000263735,EPCAM,direct
9606.ENSP00000263736,SRBD1,direct
9606.ENSP00000263753,SGO1,direct
9606.ENSP00000263754,KAT2B,direct
9606.ENSP00000263773,FNBP4,direct
9606.ENSP00000263774,NDUFS3,direct
9606.ENSP00000263776,ACCS,direct
9606.ENSP00000263780,CHMP2B,direct
9606.ENSP00000263791,EIF2AK4,direct
9606.ENSP00000263795,WDR76,direct
9606.ENSP00000263798,TYRO3,direct
9606.ENSP00000263800,LTK,direct
9606.ENSP00000263805,ZNF106,direct
9606.ENSP00000263847,OSBP,direct
9606.ENSP00000263849,ZC2HC1A,direct
9606.ENSP00000263851,IL7,direct
9606.ENSP00000263856,CHMP3,direct
9606.ENSP00000263857,POLR1A,direct
9606.ENSP00000263864,VAMP8,direct
9606.ENSP00000263867,CAPG,direct
9606.ENSP00000263881,MAP4K3,direct
9606.ENSP00000263897,USE1,direct
9606.ENSP00000263904,STAM2,direct
9606.ENSP00000263915,GRB14,direct
9606.ENSP00000263918,STRN,direct
9606.ENSP00000263921,CHIC2,direct
9606.ENSP00000263923,KDR,direct
9606.ENSP00000263925,LNX1,direct
9606.ENSP00000263932,TNFRSF8,direct
9606.ENSP00000263934,KIF1B,direct
9606.ENSP00000263946,PKP1,direct
9606.ENSP00000263955,STK17B,direct
9606.ENSP00000263956,GTF3C3,direct
9606.ENSP00000263960,COQ10B,direct
9606.ENSP00000263966,USP13,direct
9606.ENSP00000263967,PIK3CA,direct
9606.ENSP00000263974,TAF12,direct
9606.ENSP00000263980,SLC9A1,direct
9606.ENSP00000263985,GATB,direct
9606.ENSP00000263991,EHBP1,direct
9606.ENSP00000263997,SLC7A6OS,direct
9606.ENSP00000264001,CKLF,direct
9606.ENSP00000264005,LCAT,direct
9606.ENSP00000264012,CDH3,direct
9606.ENSP00000264020,IFT46,direct
9606.ENSP00000264025,NECTIN1,direct
9606.ENSP00000264027,SC5D,direct
9606.ENSP00000264028,ARCN1,direct
9606.ENSP00000264029,TREH,direct
9606.ENSP00000264031,UPK2,direct
9606.ENSP00000264033,CBL,direct
9606.ENSP00000264036,MCAM,direct
9606.ENSP00000264039,GPC1,direct
9606.ENSP00000264042,FARP2,direct
9606.ENSP00000264047,SLC5A7,direct
9606.ENSP00000264051,NGEF,direct
9606.ENSP00000264057,DGKD,direct
9606.ENSP00000264059,EFHD1,direct
9606.ENSP00000264065,DNAJC10,direct
9606.ENSP00000264071,TUBB4A,direct
9606.ENSP00000264072,FCER2,direct
9606.ENSP00000264079,MCOLN1,direct
9606.ENSP00000264080,GPR108,direct
9606.ENSP00000264093,DGUOK,direct
9606.ENSP00000264094,LOXL3,direct
9606.ENSP00000264108,HAT1,direct
9606.ENSP00000264110,ATF2,direct
9606.ENSP00000264144,LAMC2,direct
9606.ENSP00000264151,OSGEPL1,direct
9606.ENSP00000264156,MCM6,direct
9606.ENSP00000264157,CCNT2,direct
9606.ENSP00000264159,ZRANB3,direct
9606.ENSP00000264161,DARS1,direct
9606.ENSP00000264162,LCT,direct
9606.ENSP00000264167,AGPS,direct
9606.ENSP00000264170,KYNU,direct
9606.ENSP00000264183,ARID4B,direct
9606.ENSP00000264187,NID1,direct
9606.ENSP00000264192,CYTIP,direct
9606.ENSP00000264198,MUL1,direct
9606.ENSP00000264218,NMU,direct
9606.ENSP00000264220,PPAT,direct
9606.ENSP00000264228,SRD5A3,direct
9606.ENSP00000264229,CRACD,direct
9606.ENSP00000264230,NOA1,direct
