string_protein_id,gene_symbol,match_type
9606.ENSP00000166345,TRIP13,direct
9606.ENSP00000167106,VASH1,direct
9606.ENSP00000167586,KRT14,direct
9606.ENSP00000167588,KRT20,direct
9606.ENSP00000168148,SPP2,direct
9606.ENSP00000168216,HSD17B10,direct
9606.ENSP00000168712,FGF4,direct
9606.ENSP00000169298,ST6GAL1,direct
9606.ENSP00000169551,TIMM21,direct
9606.ENSP00000170150,BPIFB2,direct
9606.ENSP00000170168,REXO1,direct
9606.ENSP00000170447,MKRN2,direct
9606.ENSP00000170564,GPATCH1,direct
9606.ENSP00000171757,P2RY10,direct
9606.ENSP00000171887,TNS1,direct
9606.ENSP00000172229,NGFR,direct
9606.ENSP00000173229,NTN1,direct
9606.ENSP00000173527,ISOC1,direct
9606.ENSP00000173898,TRO,direct
9606.ENSP00000174618,MNT,direct
9606.ENSP00000175091,LAPTM4A,direct
9606.ENSP00000175238,ADAM7,direct
9606.ENSP00000175756,PTPN18,direct
9606.ENSP00000176183,DRD4,direct
9606.ENSP00000176195,SCT,direct
9606.ENSP00000176763,STK10,direct
9606.ENSP00000177694,TBX21,direct
9606.ENSP00000177742,MRPS34,direct
9606.ENSP00000178638,CA12,direct
9606.ENSP00000178640,MAP2K5,direct
9606.ENSP00000179259,TIGAR,direct
9606.ENSP00000180166,FGF20,direct
9606.ENSP00000180173,MTMR7,direct
9606.ENSP00000181383,CPB2,direct
9606.ENSP00000181796,FAM107B,direct
9606.ENSP00000181839,CDK13,direct
9606.ENSP00000182290,TSPAN32,direct
9606.ENSP00000182527,TRAM2,direct
9606.ENSP00000184183,ROPN1,direct
9606.ENSP00000184266,NDUFB4,direct
9606.ENSP00000184956,HEATR6,direct
9606.ENSP00000185150,ERLEC1,direct
9606.ENSP00000185206,CLIC5,direct
9606.ENSP00000186436,TMEM131,direct
9606.ENSP00000187762,TMEM38A,direct
9606.ENSP00000188312,ACTR6,direct
9606.ENSP00000188790,FAP,direct
9606.ENSP00000190165,DMRT3,direct
9606.ENSP00000192314,GAL3ST2,direct
9606.ENSP00000193322,OSTM1,direct
9606.ENSP00000193391,IMPG2,direct
9606.ENSP00000194130,SLC13A1,direct
9606.ENSP00000194152,PCDHB4,direct
9606.ENSP00000194155,PCDHB2,direct
9606.ENSP00000194214,IFT25,alias
9606.ENSP00000194530,STRADB,direct
9606.ENSP00000196061,PLOD1,direct
9606.ENSP00000196371,OXCT1,direct
9606.ENSP00000196489,ZNF416,direct
9606.ENSP00000197268,FAM234B,direct
9606.ENSP00000198536,PILRA,direct
9606.ENSP00000198767,RRN3,direct
9606.ENSP00000198801,MOGAT2,direct
9606.ENSP00000199280,AQP2,direct
9606.ENSP00000199320,DIMT1,direct
9606.ENSP00000199389,EIF2AK1,direct
9606.ENSP00000199447,NME8,direct
9606.ENSP00000199448,EPDR1,direct
9606.ENSP00000199708,HBQ1,direct
9606.ENSP00000199764,CEACAM6,direct
